label,h1_x0,h1_y0,h1_x1,h1_y1,h1_x2,h1_y2,h1_x3,h1_y3,h1_x4,h1_y4,h1_x5,h1_y5,h1_x6,h1_y6,h1_x7,h1_y7,h1_x8,h1_y8,h1_x9,h1_y9,h1_x10,h1_y10,h1_x11,h1_y11,h1_x12,h1_y12,h1_x13,h1_y13,h1_x14,h1_y14,h1_x15,h1_y15,h1_x16,h1_y16,h1_x17,h1_y17,h1_x18,h1_y18,h1_x19,h1_y19,h1_x20,h1_y20,h2_x0,h2_y0,h2_x1,h2_y1,h2_x2,h2_y2,h2_x3,h2_y3,h2_x4,h2_y4,h2_x5,h2_y5,h2_x6,h2_y6,h2_x7,h2_y7,h2_x8,h2_y8,h2_x9,h2_y9,h2_x10,h2_y10,h2_x11,h2_y11,h2_x12,h2_y12,h2_x13,h2_y13,h2_x14,h2_y14,h2_x15,h2_y15,h2_x16,h2_y16,h2_x17,h2_y17,h2_x18,h2_y18,h2_x19,h2_y19,h2_x20,h2_y20
Flower,0.34460887949260044,1.0,0.21987315010570824,0.7687595712098009,0.22832980972515857,0.5911179173047473,0.3192389006342495,0.4655436447166922,0.41226215644820297,0.3889739663093415,0.160676532769556,0.5390505359877489,0.06342494714587738,0.3169984686064318,0.021141649048625793,0.16079632465543645,0.0,0.030627871362940276,0.29809725158562367,0.5773353751914242,0.3023255813953488,0.3124042879019908,0.34249471458773784,0.13169984686064318,0.3784355179704017,0.0,0.4799154334038055,0.6263399693721287,0.6109936575052854,0.3905053598774885,0.7019027484143763,0.2327718223583461,0.7695560253699789,0.11485451761102604,0.6701902748414377,0.6845329249617151,0.8477801268498943,0.4992343032159265,0.9344608879492601,0.40428790199081166,1.0,0.3169984686064318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.35073068893528186,1.0,0.2254697286012526,0.7652439024390244,0.23382045929018788,0.5899390243902439,0.3298538622129436,0.4634146341463415,0.42379958246346555,0.3871951219512195,0.1732776617954071,0.5304878048780488,0.07515657620041753,0.31097560975609756,0.029227557411273485,0.15548780487804878,0.0,0.025914634146341462,0.302713987473904,0.5746951219512195,0.3089770354906054,0.3125,0.34237995824634654,0.13109756097560976,0.37160751565762007,0.0,0.4780793319415449,0.6280487804878049,0.6116910229645094,0.3871951219512195,0.7014613778705637,0.22865853658536586,0.7620041753653445,0.11280487804878049,0.6617954070981211,0.6844512195121951,0.8434237995824635,0.49847560975609756,0.9331941544885177,0.4054878048780488,1.0,0.32164634146341464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.3472803347280335,1.0,0.21548117154811716,0.7654320987654321,0.2217573221757322,0.5895061728395061,0.3200836820083682,0.46141975308641975,0.41422594142259417,0.3888888888888889,0.16108786610878661,0.5308641975308642,0.06485355648535565,0.3055555555555556,0.02301255230125523,0.14814814814814814,0.0,0.018518518518518517,0.29916317991631797,0.5756172839506173,0.3117154811715481,0.3117283950617284,0.3472803347280335,0.12962962962962962,0.37656903765690375,0.0,0.4811715481171548,0.6311728395061729,0.6234309623430963,0.3873456790123457,0.7112970711297071,0.22839506172839505,0.7698744769874477,0.11265432098765432,0.6652719665271967,0.6898148148148148,0.8514644351464435,0.5030864197530864,0.9393305439330544,0.4074074074074074,1.0,0.3194444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.33194154488517746,1.0,0.20041753653444677,0.7662538699690402,0.20250521920668058,0.5882352941176471,0.2881002087682672,0.456656346749226,0.3778705636743215,0.37306501547987614,0.15031315240083507,0.5371517027863777,0.05636743215031315,0.3126934984520124,0.016701461377870562,0.15325077399380804,0.0,0.018575851393188854,0.29436325678496866,0.5804953560371517,0.3173277661795407,0.3173374613003096,0.35908141962421714,0.13312693498452013,0.3883089770354906,0.0,0.4780793319415449,0.6362229102167183,0.6179540709812108,0.39628482972136225,0.7056367432150313,0.23219814241486067,0.7640918580375783,0.10990712074303406,0.6576200417536534,0.6965944272445821,0.8434237995824635,0.5108359133126935,0.9331941544885177,0.413312693498452,1.0,0.326625386996904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.32150313152400833,1.0,0.18580375782881003,0.7729393468118196,0.19206680584551147,0.5894245723172629,0.2839248434237996,0.4572317262830482,0.3778705636743215,0.3810264385692068,0.13778705636743216,0.5396578538102644,0.04384133611691023,0.31259720062208396,0.010438413361169102,0.15085536547433903,0.0,0.015552099533437015,0.29227557411273486,0.578538102643857,0.3068893528183716,0.31726283048211507,0.35073068893528186,0.1368584758942457,0.38413361169102295,0.0,0.4780793319415449,0.6329704510108864,0.6096033402922756,0.401244167962675,0.6993736951983298,0.2379471228615863,0.7578288100208769,0.11353032659409021,0.6597077244258872,0.6951788491446346,0.8392484342379958,0.5116640746500778,0.9311064718162839,0.416796267496112,1.0,0.3297045101088647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.33811475409836067,1.0,0.20491803278688525,0.7710280373831776,0.2069672131147541,0.5903426791277259,0.2889344262295082,0.45794392523364486,0.36885245901639346,0.37850467289719625,0.1557377049180328,0.5389408099688473,0.05942622950819672,0.3146417445482866,0.020491803278688523,0.1526479750778816,0.0,0.017133956386292833,0.3012295081967213,0.5825545171339563,0.3073770491803279,0.32242990654205606,0.3442622950819672,0.13707165109034267,0.375,0.0,0.48360655737704916,0.6370716510903427,0.6127049180327869,0.3987538940809969,0.6987704918032787,0.2336448598130841,0.7581967213114754,0.10903426791277258,0.6618852459016393,0.6993769470404985,0.8401639344262295,0.5109034267912772,0.930327868852459,0.4127725856697819,1.0,0.32710280373831774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.33402922755741127,1.0,0.19832985386221294,0.7728658536585366,0.20668058455114824,0.5975609756097561,0.2964509394572025,0.46646341463414637,0.38413361169102295,0.3871951219512195,0.1524008350730689,0.5350609756097561,0.05636743215031315,0.31097560975609756,0.016701461377870562,0.15091463414634146,0.0,0.018292682926829267,0.2985386221294363,0.5777439024390244,0.302713987473904,0.31402439024390244,0.34237995824634654,0.1326219512195122,0.3695198329853862,0.0,0.4801670146137787,0.6310975609756098,0.615866388308977,0.39176829268292684,0.7014613778705637,0.2301829268292683,0.7578288100208769,0.11128048780487805,0.6597077244258872,0.6920731707317073,0.8455114822546973,0.5045731707317073,0.9331941544885177,0.4100609756097561,1.0,0.3231707317073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.2894168466522678,1.0,0.16414686825053995,0.7639097744360902,0.17926565874730022,0.5894736842105263,0.28077753779697623,0.46466165413533833,0.38660907127429806,0.3954887218045113,0.12095032397408208,0.5218045112781955,0.038876889848812095,0.29774436090225564,0.01079913606911447,0.13834586466165413,0.0,0.010526315789473684,0.2570194384449244,0.5639097744360902,0.28509719222462204,0.2962406015037594,0.3369330453563715,0.12180451127819548,0.37365010799136067,0.0,0.43844492440604754,0.6240601503759399,0.5896328293736501,0.3819548872180451,0.6911447084233261,0.23308270676691728,0.7580993520518359,0.12030075187969924,0.6263498920086393,0.6932330827067669,0.8250539956803455,0.5067669172932331,0.9265658747300216,0.42105263157894735,1.0,0.3458646616541353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.2684563758389262,1.0,0.14541387024608501,0.7654135338345864,0.1610738255033557,0.5954887218045113,0.2595078299776286,0.47218045112781953,0.37360178970917224,0.40150375939849625,0.10738255033557047,0.5157894736842106,0.029082774049217,0.29172932330827067,0.006711409395973154,0.13834586466165413,0.0,0.013533834586466165,0.23937360178970918,0.5548872180451128,0.2751677852348993,0.28421052631578947,0.33109619686800895,0.11578947368421053,0.37360178970917224,0.0,0.42058165548098436,0.6135338345864662,0.5816554809843401,0.3699248120300752,0.6935123042505593,0.22706766917293233,0.7695749440715883,0.12030075187969924,0.6152125279642058,0.6842105263157895,0.8187919463087249,0.49473684210526314,0.9239373601789709,0.41353383458646614,1.0,0.3443609022556391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower,0.2112676056338028,1.0,0.09389671361502347,0.7706146926536732,0.11267605633802817,0.5997001499250375,0.22065727699530516,0.4827586206896552,0.3474178403755869,0.4197901049475262,0.06338028169014084,0.5187406296851574,0.011737089201877934,0.2908545727136432,0.0,0.1409295352323838,0.002347417840375587,0.0239880059970015,0.19718309859154928,0.553223388305847,0.25821596244131456,0.2848575712143928,0.3192488262910798,0.11694152923538231,0.3685446009389671,0.0,0.3755868544600939,0.6116941529235382,0.5492957746478874,0.37631184407796103,0.6666666666666666,0.2353823088455772,0.7488262910798122,0.12893553223388307,0.5704225352112676,0.6866566716641679,0.7981220657276995,0.5112443778110944,0.9178403755868545,0.43778110944527737,1.0,0.3733133433283358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
