label,h1_x0,h1_y0,h1_x1,h1_y1,h1_x2,h1_y2,h1_x3,h1_y3,h1_x4,h1_y4,h1_x5,h1_y5,h1_x6,h1_y6,h1_x7,h1_y7,h1_x8,h1_y8,h1_x9,h1_y9,h1_x10,h1_y10,h1_x11,h1_y11,h1_x12,h1_y12,h1_x13,h1_y13,h1_x14,h1_y14,h1_x15,h1_y15,h1_x16,h1_y16,h1_x17,h1_y17,h1_x18,h1_y18,h1_x19,h1_y19,h1_x20,h1_y20,h2_x0,h2_y0,h2_x1,h2_y1,h2_x2,h2_y2,h2_x3,h2_y3,h2_x4,h2_y4,h2_x5,h2_y5,h2_x6,h2_y6,h2_x7,h2_y7,h2_x8,h2_y8,h2_x9,h2_y9,h2_x10,h2_y10,h2_x11,h2_y11,h2_x12,h2_y12,h2_x13,h2_y13,h2_x14,h2_y14,h2_x15,h2_y15,h2_x16,h2_y16,h2_x17,h2_y17,h2_x18,h2_y18,h2_x19,h2_y19,h2_x20,h2_y20
Hello,0.8547215496368039,1.0,0.5738498789346247,0.9694072657743786,0.33171912832929784,0.8432122370936902,0.162227602905569,0.7208413001912046,0.0,0.6806883365200764,0.4116222760290557,0.5640535372848948,0.30024213075060535,0.3690248565965583,0.24455205811138014,0.24665391969407266,0.2009685230024213,0.13001912045889102,0.5738498789346247,0.5047801147227533,0.4939467312348668,0.28107074569789675,0.44794188861985473,0.1338432122370937,0.4067796610169492,0.0,0.7409200968523002,0.49904397705544934,0.7167070217917676,0.29063097514340347,0.6949152542372882,0.15487571701720843,0.6658595641646489,0.028680688336520075,0.9079903147699758,0.5353728489483748,0.9588377723970944,0.384321223709369,0.9854721549636803,0.27724665391969405,1.0,0.17208413001912046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,0.9895615866388309,0.6925133689839572,1.0,0.4037433155080214,0.8977035490605428,0.1925133689839572,0.7974947807933194,0.0,0.7849686847599165,0.4197860962566845,0.5866388308977035,0.25133689839572193,0.40292275574112735,0.16042780748663102,0.2860125260960334,0.09090909090909091,0.17745302713987474,0.5748663101604278,0.5031315240083507,0.41711229946524064,0.2881002087682672,0.3315508021390374,0.15031315240083507,0.2540106951871658,0.027139874739039668,0.7513368983957219,0.4759916492693111,0.6524064171122995,0.2567849686847599,0.5962566844919787,0.11899791231732777,0.5347593582887701,0.0,0.946524064171123,0.48851774530271397,0.946524064171123,0.31524008350730687,0.9358288770053476,0.19832985386221294,0.9117647058823529,0.08977035490605428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,0.9915254237288136,0.6964769647696477,1.0,0.4037940379403794,0.902542372881356,0.1897018970189702,0.8050847457627118,0.0,0.7902542372881356,0.4065040650406504,0.597457627118644,0.23306233062330622,0.4152542372881356,0.13550135501355012,0.3008474576271186,0.05420054200542006,0.19491525423728814,0.5609756097560976,0.510593220338983,0.4037940379403794,0.2944915254237288,0.3035230352303523,0.15889830508474576,0.2140921409214092,0.038135593220338986,0.7371273712737128,0.4788135593220339,0.6368563685636857,0.2605932203389831,0.5691056910569106,0.125,0.4932249322493225,0.0,0.924119241192412,0.4894067796610169,0.9186991869918699,0.3177966101694915,0.907859078590786,0.19915254237288135,0.8834688346883469,0.0826271186440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,0.9823399558498896,0.701058201058201,1.0,0.41534391534391535,0.9227373068432672,0.1984126984126984,0.8410596026490066,0.021164021164021163,0.8388520971302428,0.37566137566137564,0.6114790286975718,0.18518518518518517,0.4392935982339956,0.08465608465608465,0.32891832229580575,0.0,0.2229580573951435,0.5132275132275133,0.5121412803532008,0.3386243386243386,0.30242825607064017,0.23544973544973544,0.17218543046357615,0.1402116402116402,0.05518763796909492,0.6798941798941799,0.46578366445916114,0.5582010582010583,0.24944812362030905,0.47619047619047616,0.11699779249448124,0.3915343915343915,0.0,0.8677248677248677,0.4613686534216336,0.8465608465608465,0.282560706401766,0.8201058201058201,0.15894039735099338,0.7804232804232805,0.04415011037527594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,0.9481132075471698,0.7404761904761905,1.0,0.4714285714285714,0.9457547169811321,0.27380952380952384,0.8797169811320755,0.10952380952380952,0.9009433962264151,0.3976190476190476,0.6179245283018868,0.2,0.46462264150943394,0.09285714285714286,0.36556603773584906,0.0,0.27358490566037735,0.5023809523809524,0.5,0.3142857142857143,0.30660377358490565,0.20714285714285716,0.18632075471698112,0.10952380952380952,0.08018867924528301,0.6428571428571429,0.4339622641509434,0.5023809523809524,0.22877358490566038,0.4142857142857143,0.10613207547169812,0.3261904761904762,0.0,0.8071428571428572,0.4056603773584906,0.7571428571428571,0.2240566037735849,0.7119047619047619,0.10613207547169812,0.6523809523809524,0.0023584905660377358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,0.9387755102040817,0.7185185185185186,1.0,0.4444444444444444,0.951530612244898,0.23950617283950618,0.8877551020408163,0.07407407407407407,0.9030612244897959,0.36049382716049383,0.6198979591836735,0.18271604938271604,0.45153061224489793,0.08641975308641975,0.34183673469387754,0.0,0.23979591836734693,0.454320987654321,0.49744897959183676,0.2716049382716049,0.3010204081632653,0.16049382716049382,0.17857142857142858,0.05925925925925926,0.07142857142857142,0.5777777777777777,0.42346938775510207,0.41975308641975306,0.22704081632653061,0.31851851851851853,0.11989795918367346,0.21728395061728395,0.02806122448979592,0.7308641975308642,0.3826530612244898,0.6444444444444445,0.20408163265306123,0.5753086419753086,0.09693877551020408,0.5012345679012346,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,0.961340206185567,0.6807387862796834,1.0,0.38522427440633245,0.9252577319587629,0.17150395778364116,0.845360824742268,0.0,0.8376288659793815,0.34300791556728233,0.5721649484536082,0.1820580474934037,0.3943298969072165,0.09762532981530343,0.2809278350515464,0.0158311345646438,0.17010309278350516,0.45118733509234826,0.4639175257731959,0.2770448548812665,0.2603092783505155,0.17150395778364116,0.13144329896907217,0.06596306068601583,0.020618556701030927,0.5857519788918206,0.40463917525773196,0.42744063324538256,0.20876288659793815,0.31926121372031663,0.10051546391752578,0.20844327176781002,0.010309278350515464,0.7519788918205804,0.37371134020618557,0.6490765171503958,0.19845360824742267,0.5699208443271768,0.09536082474226804,0.48548812664907653,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,1.0,1.0,0.6510263929618768,0.9602649006622517,0.36656891495601174,0.8278145695364238,0.17302052785923755,0.6909492273730684,0.0,0.6070640176600441,0.4340175953079179,0.5231788079470199,0.33724340175953077,0.33774834437086093,0.31378299120234604,0.22737306843267108,0.2903225806451613,0.11699779249448124,0.5806451612903226,0.45916114790286977,0.4750733137829912,0.24944812362030905,0.4222873900293255,0.12141280353200883,0.36363636363636365,0.0,0.7360703812316716,0.445916114790287,0.6539589442815249,0.23841059602649006,0.5982404692082112,0.11920529801324503,0.530791788856305,0.01545253863134658,0.9208211143695014,0.4613686534216336,0.8592375366568915,0.2913907284768212,0.8005865102639296,0.19426048565121412,0.7214076246334311,0.11037527593818984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,0.9310344827586207,1.0,0.5611285266457681,0.9358178053830227,0.30094043887147337,0.7929606625258799,0.13793103448275862,0.6438923395445134,0.0,0.525879917184265,0.4670846394984326,0.5010351966873706,0.42946708463949845,0.3064182194616977,0.438871473354232,0.19875776397515527,0.45141065830721006,0.09523809523809523,0.6426332288401254,0.463768115942029,0.6050156739811913,0.2484472049689441,0.5956112852664577,0.11594202898550725,0.5893416927899686,0.0,0.8150470219435737,0.4720496894409938,0.7836990595611285,0.2650103519668737,0.7648902821316614,0.14285714285714285,0.7398119122257053,0.033126293995859216,1.0,0.5134575569358178,0.9811912225705329,0.34782608695652173,0.9529780564263323,0.2463768115942029,0.9090909090909091,0.14906832298136646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,0.9161490683229814,1.0,0.5496894409937888,0.9338842975206612,0.2857142857142857,0.7871900826446281,0.13354037267080746,0.6363636363636364,0.0,0.5206611570247934,0.45962732919254656,0.506198347107438,0.4161490683229814,0.30991735537190085,0.4254658385093168,0.19834710743801653,0.4440993788819876,0.09090909090909091,0.6428571428571429,0.4669421487603306,0.6118012422360248,0.25,0.6086956521739131,0.11570247933884298,0.6086956521739131,0.0,0.8136645962732919,0.47520661157024796,0.7919254658385093,0.26859504132231404,0.7701863354037267,0.14669421487603307,0.7453416149068323,0.03512396694214876,1.0,0.518595041322314,0.984472049689441,0.359504132231405,0.953416149068323,0.25826446280991733,0.9161490683229814,0.16322314049586778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
